latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.738136,-74.04254,51.0,-14400,America/New_York,GMT-4

time,temperature_2m_mean (°C),temperature_2m_max (°C)
2020-01-01,2.1,4.2
2020-01-02,2.3,8.8
2020-01-03,6.3,9.2
2020-01-04,7.5,9.9
2020-01-05,2.5,5.0
2020-01-06,2.6,7.5
2020-01-07,2.4,5.9
2020-01-08,0.8,4.9
2020-01-09,-2.3,0.4
2020-01-10,4.8,11.0
2020-01-11,13.6,18.2
2020-01-12,14.6,18.6
2020-01-13,4.7,8.7
2020-01-14,4.0,6.6
2020-01-15,5.5,9.2
2020-01-16,5.5,8.5
2020-01-17,-3.3,0.6
2020-01-18,-3.3,2.3
2020-01-19,2.6,6.9
2020-01-20,-4.1,-1.0
2020-01-21,-3.7,1.0
2020-01-22,-2.4,2.8
2020-01-23,-0.2,6.8
2020-01-24,2.7,9.4
2020-01-25,4.9,9.5
2020-01-26,3.8,7.7
2020-01-27,3.1,7.1
2020-01-28,2.8,5.3
2020-01-29,0.5,4.2
2020-01-30,-2.1,1.1
2020-01-31,2.0,6.2
2020-02-01,2.4,5.4
2020-02-02,2.6,6.0
2020-02-03,5.6,12.3
2020-02-04,6.9,13.0
2020-02-05,4.8,8.9
2020-02-06,4.1,6.4
2020-02-07,4.8,13.8
2020-02-08,0.7,4.7
2020-02-09,1.2,6.4
2020-02-10,5.3,8.7
2020-02-11,6.0,7.4
2020-02-12,4.2,7.1
2020-02-13,4.1,6.4
2020-02-14,-1.3,2.8
2020-02-15,-5.7,-1.8
2020-02-16,1.4,7.5
2020-02-17,3.5,9.6
2020-02-18,4.3,9.1
2020-02-19,4.7,7.9
2020-02-20,-0.5,3.1
2020-02-21,-2.9,1.6
2020-02-22,1.5,8.7
2020-02-23,4.0,11.7
2020-02-24,5.2,12.7
2020-02-25,7.2,9.9
2020-02-26,7.1,10.1
2020-02-27,4.2,8.4
2020-02-28,0.4,4.8
2020-02-29,-1.3,2.4
2020-03-01,-0.2,6.7
2020-03-02,6.2,13.4
2020-03-03,9.3,13.4
2020-03-04,8.5,13.0
2020-03-05,5.2,10.4
2020-03-06,3.9,7.0
2020-03-07,3.7,8.1
2020-03-08,5.3,13.7
2020-03-09,11.1,20.0
2020-03-10,12.3,15.7
2020-03-11,8.2,12.4
2020-03-12,5.7,8.8
2020-03-13,12.4,19.5
2020-03-14,8.1,12.3
2020-03-15,6.7,11.1
2020-03-16,2.7,6.5
2020-03-17,6.8,12.0
2020-03-18,6.1,9.9
2020-03-19,8.1,12.4
2020-03-20,14.5,23.5
2020-03-21,8.3,17.0
2020-03-22,2.4,5.8
2020-03-23,2.7,5.2
2020-03-24,6.3,13.9
2020-03-25,5.1,7.7
2020-03-26,6.5,13.7
2020-03-27,11.9,18.0
2020-03-28,7.7,9.8
2020-03-29,8.5,11.6
2020-03-30,7.5,11.7
2020-03-31,5.8,8.3
2020-04-01,6.8,12.4
2020-04-02,8.1,13.4
2020-04-03,8.1,10.1
2020-04-04,9.4,14.3
2020-04-05,10.0,15.8
2020-04-06,11.7,17.3
2020-04-07,11.4,17.0
2020-04-08,12.8,18.8
2020-04-09,9.8,16.3
2020-04-10,6.2,9.1
2020-04-11,6.7,11.1
2020-04-12,9.4,15.3
2020-04-13,14.7,18.6
2020-04-14,10.1,13.3
2020-04-15,7.3,10.8
2020-04-16,6.1,8.8
2020-04-17,4.8,10.2
2020-04-18,6.2,8.6
2020-04-19,8.6,15.4
2020-04-20,9.1,11.8
2020-04-21,8.8,15.4
2020-04-22,4.9,9.4
2020-04-23,5.3,9.7
2020-04-24,7.1,8.9
2020-04-25,9.2,16.5
2020-04-26,7.8,9.4
2020-04-27,6.1,8.1
2020-04-28,9.3,17.5
2020-04-29,8.7,13.5
2020-04-30,12.6,15.3
2020-05-01,13.9,18.4
2020-05-02,15.1,21.4
2020-05-03,17.5,24.5
2020-05-04,15.0,20.0
2020-05-05,10.5,14.9
2020-05-06,8.6,11.5
2020-05-07,11.5,16.9
2020-05-08,8.5,10.8
2020-05-09,4.6,8.0
2020-05-10,9.3,15.9
2020-05-11,10.2,14.9
2020-05-12,9.2,14.7
2020-05-13,9.3,15.7
2020-05-14,11.4,16.2
2020-05-15,20.2,27.6
2020-05-16,19.1,23.3
2020-05-17,13.3,16.4
2020-05-18,14.7,20.2
2020-05-19,14.0,18.2
2020-05-20,12.2,17.1
2020-05-21,11.3,15.9
2020-05-22,16.3,22.0
2020-05-23,16.1,20.2
2020-05-24,13.8,18.7
2020-05-25,15.2,19.8
2020-05-26,16.7,21.7
2020-05-27,17.4,22.1
2020-05-28,18.8,22.8
2020-05-29,22.1,25.7
2020-05-30,22.2,26.0
2020-05-31,16.3,20.4
2020-06-01,14.7,19.5
2020-06-02,17.4,21.5
2020-06-03,21.2,28.7
2020-06-04,22.7,29.0
2020-06-05,21.6,24.1
2020-06-06,24.1,29.3
2020-06-07,19.8,24.5
2020-06-08,19.2,25.3
2020-06-09,22.8,30.3
2020-06-10,22.9,26.8
2020-06-11,23.9,28.3
2020-06-12,23.5,28.4
2020-06-13,18.8,22.7
2020-06-14,16.6,22.0
2020-06-15,17.8,22.6
