,period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units
0,2025-04-08,NY,New York,D,Demand,Eastern,Eastern,390632,megawatthours
1,2025-04-07,NY,New York,D,Demand,Eastern,Eastern,383201,megawatthours
2,2025-04-06,NY,New York,D,Demand,Eastern,Eastern,347576,megawatthours
3,2025-04-05,NY,New York,D,Demand,Eastern,Eastern,355164,megawatthours
4,2025-04-04,NY,New York,D,Demand,Eastern,Eastern,346729,megawatthours
5,2025-04-03,NY,New York,D,Demand,Eastern,Eastern,377519,megawatthours
6,2025-04-02,NY,New York,D,Demand,Eastern,Eastern,387527,megawatthours
7,2025-04-01,NY,New York,D,Demand,Eastern,Eastern,358784,megawatthours
8,2025-03-31,NY,New York,D,Demand,Eastern,Eastern,370439,megawatthours
9,2025-03-30,NY,New York,D,Demand,Eastern,Eastern,360251,megawatthours
10,2025-03-29,NY,New York,D,Demand,Eastern,Eastern,356584,megawatthours
11,2025-03-28,NY,New York,D,Demand,Eastern,Eastern,373815,megawatthours
12,2025-03-27,NY,New York,D,Demand,Eastern,Eastern,371568,megawatthours
13,2025-03-26,NY,New York,D,Demand,Eastern,Eastern,383131,megawatthours
14,2025-03-25,NY,New York,D,Demand,Eastern,Eastern,378674,megawatthours
15,2025-03-24,NY,New York,D,Demand,Eastern,Eastern,398827,megawatthours
16,2025-03-23,NY,New York,D,Demand,Eastern,Eastern,351612,megawatthours
17,2025-03-22,NY,New York,D,Demand,Eastern,Eastern,354942,megawatthours
18,2025-03-21,NY,New York,D,Demand,Eastern,Eastern,360106,megawatthours
19,2025-03-20,NY,New York,D,Demand,Eastern,Eastern,365904,megawatthours
20,2025-03-19,NY,New York,D,Demand,Eastern,Eastern,354325,megawatthours
21,2025-03-18,NY,New York,D,Demand,Eastern,Eastern,367109,megawatthours
22,2025-03-17,NY,New York,D,Demand,Eastern,Eastern,383316,megawatthours
23,2025-03-16,NY,New York,D,Demand,Eastern,Eastern,350585,megawatthours
24,2025-03-15,NY,New York,D,Demand,Eastern,Eastern,353508,megawatthours
25,2025-03-14,NY,New York,D,Demand,Eastern,Eastern,362794,megawatthours
26,2025-03-13,NY,New York,D,Demand,Eastern,Eastern,374367,megawatthours
27,2025-03-12,NY,New York,D,Demand,Eastern,Eastern,380035,megawatthours
28,2025-03-11,NY,New York,D,Demand,Eastern,Eastern,360839,megawatthours
29,2025-03-10,NY,New York,D,Demand,Eastern,Eastern,368767,megawatthours
30,2025-03-08,NY,New York,D,Demand,Eastern,Eastern,379947,megawatthours
31,2025-03-07,NY,New York,D,Demand,Eastern,Eastern,406048,megawatthours
32,2025-03-06,NY,New York,D,Demand,Eastern,Eastern,403469,megawatthours
33,2025-03-05,NY,New York,D,Demand,Eastern,Eastern,407344,megawatthours
