Date,MWh,weekday,month
2025-03-30,360251,1,3
2025-03-29,356584,7,3
2025-03-28,373815,6,3
2025-03-27,371568,5,3
2025-03-26,383131,4,3
2025-03-25,378674,3,3
2025-03-24,398827,2,3
2025-03-23,351612,1,3
2025-03-22,354942,7,3
2025-03-21,360106,6,3
2025-03-20,365904,5,3
2025-03-19,354325,4,3
2025-03-18,367109,3,3
2025-03-17,383316,2,3
2025-03-16,350585,1,3
2025-03-15,353508,7,3
2025-03-14,362794,6,3
2025-03-13,374367,5,3
2025-03-12,380035,4,3
2025-03-11,360839,3,3
2025-03-10,368767,2,3
2025-03-08,379947,7,3
2025-03-07,406048,6,3
2025-03-06,403469,5,3
2025-03-05,407344,4,3
2025-03-04,420282,3,3
2025-03-03,430754,2,3
2025-03-02,417602,1,3
2025-03-01,391122,7,3
2025-02-28,395168,6,2
2025-02-27,413497,5,2
2025-02-26,390557,4,2
2025-02-25,409251,3,2
2025-02-24,414863,2,2
2025-02-23,407668,1,2
2025-02-22,424577,7,2
2025-02-21,466908,6,2
2025-02-20,475569,5,2
2025-02-19,475123,4,2
2025-02-18,476969,3,2
2025-02-17,450724,2,2
2025-02-16,428955,1,2
2025-02-15,442916,7,2
2025-02-14,442568,6,2
2025-02-13,449773,5,2
2025-02-12,461393,4,2
2025-02-11,462141,3,2
2025-02-10,450779,2,2
2025-02-09,437321,1,2
2025-02-08,435101,7,2
2025-02-07,437921,6,2
2025-02-06,466398,5,2
2025-02-05,450687,4,2
2025-02-04,433662,3,2
2025-02-03,443795,2,2
2025-02-02,458769,1,2
2025-02-01,427318,7,2
2025-01-31,444812,6,1
2025-01-30,456746,5,1
2025-01-29,444445,4,1
2025-01-28,446129,3,1
2025-01-27,445832,2,1
2025-01-26,433362,1,1
2025-01-25,456690,7,1
2025-01-24,479623,6,1
2025-01-23,493684,5,1
2025-01-22,512469,4,1
2025-01-21,507458,3,1
2025-01-20,476314,2,1
2025-01-19,425620,1,1
2025-01-18,423690,7,1
2025-01-17,452520,6,1
2025-01-16,471935,5,1
2025-01-15,429499,4,1
2025-01-14,460618,3,1
2025-01-13,450534,2,1
2025-01-12,420996,1,1
2025-01-11,439882,7,1
2025-01-10,457755,6,1
2025-01-09,490373,5,1
2025-01-08,491538,4,1
2025-01-07,489499,3,1
2025-01-06,478157,2,1
2025-01-05,444306,1,1
2025-01-04,444490,7,1
2025-01-03,443961,6,1
2025-01-02,433967,5,1
2025-01-01,386468,4,1
2024-12-31,387803,3,12
